species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,functional_group,,,,,,,,,,,,,,,,,,,,,,,,,,length_mm,biomass_type,biomass_mg,provenance,provenance_species,,,,r_squared,sample_size,intercept,slope,ln_intercept
,,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,,Cyclopidae,,,Thermocyclops,minutus,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511,dry,0.000733,length.interpolate,exact,,,,0.971,134,,0.7849,0.0922
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,dry,0.00025,length.interpolate,exact,,,,0.717,81,,1.772,1.31
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251,dry,0.000341,length.interpolate,exact,,,,0.717,81,,1.772,1.31
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317,dry,0.000485,length.interpolate,exact,,,,0.717,81,,1.772,1.31
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274,dry,0.00042,length.interpolate,exact,,,,0.721,71,,1.524,0.9936
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,dry,0.000513,length.interpolate,exact,,,,0.721,71,,1.524,0.9936
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,cornuta,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414,dry,0.000718,length.interpolate,exact,,,,0.721,71,,1.524,0.9936
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Daphnia,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,0.604,dry,0.000957,length.interpolate,exact,,,,0.921,81,,2.418,1.169
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Daphnia,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,0.824,dry,0.002016,length.interpolate,exact,,,,0.921,81,,2.418,1.169
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Daphnia,ambigua,,,,,,,,,,,,,,,,,,,,,,,,,,,1.112,dry,0.004174,length.interpolate,exact,,,,0.921,81,,2.418,1.169
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,silvestrii,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,dry,0.000799,length.interpolate,exact,,,,0.798,76,,1.76,1.45
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,silvestrii,,,,,,,,,,,,,,,,,,,,,,,,,,,0.491,dry,0.00183,length.interpolate,exact,,,,0.798,76,,1.76,1.45
,,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,,Daphniidae,,,Ceriodaphnia,silvestrii,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,dry,0.00201,length.interpolate,exact,,,,0.798,76,,1.76,1.45
,,Eukaryota,Animalia,Annelida,,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,,,Erpobdella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,exact,,,,1,12,,2.37,-4.71
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,,,Discoconchoecia,pseudodiscophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,0.992,8,-7.751,2.61,
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,,,Metaconchoecia,skogsbergi,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,0.996,7,-7.143,2.42,
,,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,,,Orthoconchoecia,haddoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,0.996,8,-7.511,2.53,
,,Eukaryota,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dry,,,,,,,,,,2.761,3.682
