species_id,bwg_name,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,stage,biomass_type,r_squared,sample_size,intercept,slope,ln_intercept
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,larva,dry,0.5309241026688803,11,-2.3031029157835223,1.5775319565054826,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,NA,NA,NA,NA,larva,dry,0.7784699633257545,11,-2.3943223453219677,1.690688639671209,NA
3916,Diptera.64,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Polypedilum,NA,larva,dry,0.7427763097267018,40,-2.367297230978128,1.4223818220055198,NA
3916,Diptera.64,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Polypedilum,NA,larva,wet,0.9632419928884843,16,-3.597876729797872,3.179433154959211,NA
3921,Diptera.65,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Tanypodinae,NA,Larsia,NA,larva,dry,0.30320917303570966,8,-2.287749149585495,1.0923661541498517,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Polypedilum,NA,larva,dry,0.6540596897020815,19,-2.502931003725516,1.5967574041886292,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Polypedilum,NA,larva,dry,0.7427763097267018,40,-2.367297230978128,1.4223818220055198,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Polypedilum,NA,larva,dry,0.5309241026688803,11,-2.3031029157835223,1.5775319565054826,NA
3931,Diptera.67,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Tanytarsus,NA,larva,dry,0.8035185090221325,24,-2.40284420447279,1.5130361017628864,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Tanypodinae,NA,NA,NA,larva,dry,0.43931656983224443,7,-2.1471401047231033,1.6939832753208794,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,NA,NA,larva,dry,0.5309241026688803,11,-2.3031029157835223,1.5775319565054826,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Tanypodinae,NA,NA,NA,larva,dry,0.6215739324881502,16,-2.3403861212276427,1.4217873971708304,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Orthocladiinae,NA,NA,NA,larva,dry,0.5264931158814431,11,-2.3172380306018505,1.747888491600791,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Tanytarsus,NA,larva,dry,0.7784699633257545,11,-2.3943223453219677,1.690688639671209,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Tanytarsus,NA,larva,dry,0.8931803195496876,8,-2.649449875136656,2.119274114713793,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Tanypodinae,NA,Larsia,NA,larva,dry,0.30320917303570966,8,-2.287749149585495,1.0923661541498517,NA
4366,Diptera.86,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Corethrellidae,Corethrellinae,NA,Corethrella,NA,larva,dry,0.659289889368419,15,-2.174918251099553,1.210466606684962,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Corethrellidae,Corethrellinae,NA,Corethrella,NA,larva,dry,0.659289889368419,15,-2.174918251099553,1.210466606684962,NA
4521,Diptera.101,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,shopei,larva,dry,0.9353142561966171,9,-2.902065473860302,3.097528401489466,NA
4526,Diptera.102,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,larva,dry,0.6680110856500974,8,-2.5376133132668732,2.074848563273019,NA
4541,Diptera.103,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,worontzowi,larva,dry,0.47513453761072894,9,-1.8543651376350219,0.8482658946927688,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,larva,dry,0.6738190475110314,15,-2.3614942756390866,2.032133010702622,NA
4551,Diptera.105,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,aphylactus,larva,dry,0.8321920922567576,11,-2.322834480369672,2.0259316232503592,NA
4566,Diptera.113,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,davisi,larva,dry,0.3857562800661976,21,-2.064119052830222,1.5460236552854425,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Wyeomyia,NA,larva,dry,0.8803975229291245,19,-2.9604920396965797,2.979634583523795,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Wyeomyia,NA,larva,dry,0.8105333867663221,6,-2.758874027367844,2.7697195671505757,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Elateridae,NA,NA,NA,NA,larva,dry,0.8651016301404792,8,-2.465217568014794,2.488045154611774,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,NA,NA,NA,NA,NA,larva,dry,0.8411284678975834,14,-2.387146380658298,2.1840659898618675,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,NA,NA,NA,NA,NA,larva,dry,0.8651016301404792,8,-2.465217568014794,2.488045154611774,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Wyeomyia,NA,pupa,dry,0.8803975229291245,19,-2.9604920396965797,2.979634583523795,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Culicinae,NA,Culex,NA,larva,dry,0.8321920922567576,11,-2.322834480369672,2.0259316232503592,NA
4996,Diptera.133,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Dolichopodidae,NA,NA,NA,NA,larva,dry,0.11501967043658512,4,-2.5146900158527927,3.2071295109732314,NA
5046,Diptera.134,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Empididae,NA,NA,NA,NA,larva,dry,0.6123501381595837,14,-2.596522695023394,2.8878731330151366,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Empididae,NA,NA,NA,NA,larva,dry,0.6123501381595837,14,-2.596522695023394,2.8878731330151366,NA
5066,Coleoptera.18,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Hydrophilidae,NA,NA,NA,NA,larva,dry,0.7110298635168376,16,-2.9828517918611004,2.9157200967676995,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Hydrophilidae,NA,NA,NA,NA,larva,dry,0.7110298635168376,16,-2.9828517918611004,2.9157200967676995,NA
5276,Diptera.219,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,NA,NA,NA,NA,larva,dry,0.8867864395029397,13,-2.7193579573746924,2.386968944559387,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Psychodidae,NA,NA,NA,NA,larva,dry,0.8867864395029397,13,-2.7193579573746924,2.386968944559387,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,NA,NA,NA,NA,NA,larva,dry,0.22594431776562748,9,-2.5156543956943556,2.11543695021431,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,larva,dry,0.7066845257083331,13,-2.4170864554863414,2.9159255027464273,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,larva,dry,0.9197547363369366,7,-2.2706772601838057,2.8763799250309616,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,larva,dry,0.11501967043658512,4,-2.5146900158527927,3.2071295109732314,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,larva,dry,0.25129798789417834,57,-0.7154341991509475,1.0484875669965767,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,pupa,dry,0.11501967043658512,4,-2.5146900158527927,3.2071295109732314,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Syrphidae,NA,NA,NA,NA,larva,dry,0.25129798789417834,57,-0.7154341991509475,1.0484875669965767,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,larva,dry,0.9197547363369366,7,-2.2706772601838057,2.8763799250309616,NA
5651,Diptera.253,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,NA,NA,NA,NA,larva,dry,0.9197547363369366,7,-2.2706772601838057,2.8763799250309616,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,Tabaninae,NA,Stibasoma,NA,larva,wet,0.9990692244733584,3,-1.702234737060017,3.085663580333191,NA
5706,Diptera.237,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,Tabaninae,NA,Stibasoma,fulvohirtum,larva,wet,0.9990692244733584,3,-1.702234737060017,3.085663580333191,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,NA,NA,NA,NA,NA,larva,dry,0.7110298635168376,16,-2.9828517918611004,2.9157200967676995,NA
5776,Diptera.278,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,larva,dry,0.886855457220976,28,-2.630045548038348,2.321887273818561,NA
5816,Diptera.269,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Limoniidae,Limoniinae,NA,Trentepohlia,NA,larva,wet,0.9803370280007626,10,-2.546872249384882,3.0594707630335836,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,larva,dry,0.886855457220976,28,-2.630045548038348,2.321887273818561,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Limoniidae,NA,NA,NA,NA,larva,wet,0.9803370280007626,10,-2.546872249384882,3.0594707630335836,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Limoniidae,Limoniinae,NA,NA,NA,larva,wet,0.9803370280007626,10,-2.546872249384882,3.0594707630335836,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Limoniidae,Limoniinae,NA,Trentepohlia,NA,larva,wet,0.9803370280007626,10,-2.546872249384882,3.0594707630335836,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,dry,0.5729326121118031,14,-2.279657232659697,2.0810797829881458,NA
6091,Coleoptera.27,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,dry,0.5729326121118031,14,-2.279657232659697,2.0810797829881458,NA
6146,Coleoptera.28,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,dry,0.8411284678975834,14,-2.387146380658298,2.1840659898618675,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Lepidoptera,NA,NA,NA,NA,NA,NA,larva,dry,0.887374520423362,9,-2.613259969771154,2.4552919244694955,NA
6201,Coleoptera.29,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,dry,0.918778168365258,16,-2.715914860335997,2.4020548696669404,NA
6251,Odonata.3,Eukarya,Animalia,Arthropoda,NA,Insecta,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,NA,NA,Leptagrion,andromache,larva,dry,0.9600582610485323,18,-2.418950554061271,2.487783512873525,NA
6256,Coleoptera.30,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,dry,0.8916847522583349,13,-2.2923562211881,2.195681527627772,NA
6261,Odonata.5,Eukarya,Animalia,Arthropoda,NA,Insecta,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,NA,NA,Leptagrion,andromache,larva,dry,0.9600582610485323,18,-2.418950554061271,2.487783512873525,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Palaeoptera,Odonata,Zygoptera,Coenagrionidae,NA,NA,Leptagrion,NA,larva,dry,0.9600582610485323,18,-2.418950554061271,2.487783512873525,NA
6281,Odonata.4,Eukarya,Animalia,Arthropoda,NA,Insecta,Palaeoptera,Odonata,Zygoptera,Pseudostigmatidae,NA,NA,Mecistogaster,modesta,larva,wet,0.9776620842138837,28,-1.491035748898867,2.7866204389939804,NA
6521,Coleoptera.31,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,wet,0.9447963006093376,9,-1.1370180058517354,1.9846561831861704,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Coleoptera,Polyphaga,Scirtidae,NA,NA,NA,NA,larva,dry,0.8411284678975834,14,-2.387146380658298,2.1840659898618675,NA
NA,NA,Eukaryota,Animalia,Platyhelminthes,NA,Turbellaria,NA,Tricladida,NA,Dugesiidae,NA,NA,Girardia,NA,larva,dry,0.86,28,NA,1.91,-4.01
NA,NA,Eukaryota,Animalia,Annelida,NA,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbriculidae,NA,NA,NA,NA,larva,dry,0.74,28,NA,3.25,-9.19
NA,NA,Eukaryota,Animalia,Annelida,NA,Clitellata,Oligochaeta,Haplotaxida,Tubificina,Naididae,NA,NA,NA,NA,larva,dry,0.57,20,NA,0.74,-2.58
NA,NA,Eukaryota,Animalia,Annelida,NA,Clitellata,Hirudinea,Rhynchobdellida,NA,Glossiphoniidae,NA,NA,Helobdella,stagnalis,larva,wet,0.595,19,NA,0.88,-1.69
NA,NA,Eukaryota,Animalia,Annelida,NA,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,NA,NA,Erpobdella,octoculata,larva,wet,0.781,63,NA,0.8,-0.96
NA,NA,Eukaryota,Animalia,Annelida,NA,Clitellata,Hirudinea,Rhynchobdellida,NA,Glossiphoniidae,NA,NA,Glossiphonia,complanata,larva,wet,0.633,97,NA,0.66,-0.18
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,NA,Thermocyclops,minutus,larva,dry,0.935,138,NA,0.5609,-0.2886
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,NA,Thermocyclops,minutus,larva,dry,0.971,134,NA,0.7849,0.0922
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,NA,Daphniidae,NA,NA,Ceriodaphnia,cornuta,larva,dry,0.717,81,NA,1.772,1.31
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,NA,Daphniidae,NA,NA,Ceriodaphnia,cornuta,larva,dry,0.721,71,NA,1.524,0.9936
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,NA,Daphniidae,NA,NA,Daphnia,ambigua,larva,dry,0.921,81,NA,2.418,1.169
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Branchiopoda,Phyllopoda,Cladocera,NA,Daphniidae,NA,NA,Ceriodaphnia,silvestrii,larva,dry,0.798,76,NA,1.76,1.45
NA,NA,Eukaryota,Animalia,Annelida,NA,Clitellata,Hirudinea,Arhynchobdellida,Pharyngobdella,Erpobdellidae,NA,NA,Erpobdella,NA,larva,dry,1,12,NA,2.37,-4.71
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,NA,NA,Discoconchoecia,pseudodiscophora,larva,dry,0.992,8,-7.751,2.61,NA
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,NA,NA,Metaconchoecia,skogsbergi,larva,dry,0.996,7,-7.143,2.42,NA
NA,NA,Eukaryota,Animalia,Arthropoda,Crustacea,Ostracoda,Myodocopa,Halocyprida,Holocypridina,Halocyprididae,NA,NA,Orthoconchoecia,haddoni,larva,dry,0.996,8,-7.511,2.53,NA
NA,NA,Eukaryota,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,NA,NA,NA,NA,NA,NA,larva,dry,NA,NA,NA,2.761,3.682
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Limoniidae,Limoniinae,NA,Trentepohlia,NA,larva,dry,NA,NA,-2.721246399,2.3298,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Tipulidae,NA,NA,NA,NA,larva,dry,NA,NA,-2.721246399,2.3298,NA
NA,NA,Eukarya,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Tanypodinae,NA,Monopelopia,NA,larva,dry,NA,NA,-2.585026652,2.1255,NA
