country,bromeliad_id,day,class,ord,family,subfamily,genus,species,abundance,size_mm,dry_mass_mg,bromspecies,predator,resource,bwg_name,stage
bras,E8,2022-04-06,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.87,0.161,alcantarea_imperialis,present,enriched,NA,adult
bras,E18,2022-04-06,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E18,2022-04-06,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E17,2022-04-07,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.99,0.218,alcantarea_imperialis,absent,enriched,NA,adult
bras,E25,2022-04-07,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E9,2022-04-07,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.61,0.209,alcantarea_imperialis,present,control,NA,adult
bras,E27,2022-04-07,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.87,0.192,alcantarea_imperialis,absent,control,NA,adult
bras,E13,2022-04-07,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,unknown,NA,alcantarea_imperialis,present,control,NA,adult
bras,E3,2022-04-07,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,1.32,0.058,alcantarea_imperialis,present,enriched,NA,adult
bras,E12,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,2.09,0.031,alcantarea_imperialis,present,control,NA,adult
bras,E10,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.43,0.041,alcantarea_imperialis,present,control,NA,adult
bras,E21,2022-04-09,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.66,0.112,alcantarea_imperialis,absent,enriched,NA,adult
bras,E21,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E9,2022-04-09,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.8,0.159,alcantarea_imperialis,present,control,NA,adult
bras,E1,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E15,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp6,1,2.75,0.105,alcantarea_imperialis,present,control,NA,adult
bras,E27,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.45,0.038,alcantarea_imperialis,absent,control,NA,adult
bras,E27,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.48,0.046,alcantarea_imperialis,absent,control,NA,adult
bras,E26,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E26,2022-04-09,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.36,0.21,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E23,2022-04-09,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.44,0.035,alcantarea_imperialis,absent,enriched,NA,adult
bras,E22,2022-04-09,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.76,0.118,alcantarea_imperialis,absent,enriched,NA,adult
bras,E22,2022-04-09,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.12,0.179,alcantarea_imperialis,absent,enriched,NA,adult
bras,E3,2022-04-09,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.14,0.126,alcantarea_imperialis,present,enriched,NA,adult
bras,E30,2022-04-10,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp6,1,unknown,0.034,alcantarea_imperialis,absent,control,NA,adult
bras,E30,2022-04-10,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,1.12,0.024,alcantarea_imperialis,absent,control,NA,adult
bras,E4,2022-04-10,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E16,2022-04-10,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,unknown,NA,alcantarea_imperialis,present,control,NA,adult
bras,E25,2022-04-10,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E8,2022-04-11,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.46,0.386,alcantarea_imperialis,present,enriched,NA,adult
bras,E3,2022-04-11,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp7,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E30,2022-04-11,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.27,0.219,alcantarea_imperialis,absent,control,NA,adult
bras,E12,2022-04-11,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,0.95,0.032,alcantarea_imperialis,present,control,NA,adult
bras,E3,2022-04-12,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.69,0.132,alcantarea_imperialis,present,enriched,NA,adult
bras,E3,2022-04-12,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp2,1,6.57,1.304,alcantarea_imperialis,present,enriched,NA,adult
bras,E9,2022-04-12,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.54,0.02,alcantarea_imperialis,present,control,NA,adult
bras,E27,2022-04-12,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,0.95,0.015,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-12,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,0.94,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E32,2022-04-12,Hexapoda,Diptera,Psychodidae,NA,Telmatoscopus,Telmatoscopus_sp1,1,1.97,0.189,alcantarea_imperialis,absent,control,NA,adult
bras,E16,2022-04-13,Hexapoda,Diptera,Psychodidae,NA,Telmatoscopus,Telmatoscopus_sp1,1,2.56,0.503,alcantarea_imperialis,present,control,NA,adult
bras,E28,2022-04-13,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E3,2022-04-14,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.84,0.055,alcantarea_imperialis,present,enriched,NA,adult
bras,E30,2022-04-14,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.33,0.179,alcantarea_imperialis,absent,control,NA,adult
bras,E18,2022-04-14,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.36,0.061,alcantarea_imperialis,absent,enriched,NA,adult
bras,E15,2022-04-15,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,2.17,0.052,alcantarea_imperialis,present,control,NA,adult
bras,E32,2022-04-15,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E21,2022-04-15,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.6,0.028,alcantarea_imperialis,absent,enriched,NA,adult
bras,E27,2022-04-15,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.78,0.035,alcantarea_imperialis,absent,control,NA,adult
bras,E22,2022-04-15,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,4.52,0.302,alcantarea_imperialis,absent,enriched,NA,adult
bras,E22,2022-04-15,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.29,0.076,alcantarea_imperialis,absent,enriched,NA,adult
bras,E22,2022-04-15,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.34,0.089,alcantarea_imperialis,absent,enriched,NA,adult
bras,E22,2022-04-15,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp6,1,1.49,0.038,alcantarea_imperialis,absent,enriched,NA,adult
bras,E13,2022-04-15,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.25,0.175,alcantarea_imperialis,present,control,NA,adult
bras,E26,2022-04-15,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.38,0.159,alcantarea_imperialis,absent,control,NA,adult
bras,E12,2022-04-18,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.33,0.157,alcantarea_imperialis,present,control,NA,adult
bras,E8,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.2,0.027,alcantarea_imperialis,present,enriched,NA,adult
bras,E10,2022-04-18,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp2,1,6.1,0.89,alcantarea_imperialis,present,control,NA,adult
bras,E24,2022-04-18,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.45,0.167,alcantarea_imperialis,absent,enriched,NA,adult
bras,E27,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.44,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E15,2022-04-18,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,6.08,0.492,alcantarea_imperialis,present,control,NA,adult
bras,E3,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E3,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.24,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E31,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.41,0.039,alcantarea_imperialis,absent,control,NA,adult
bras,E20,2022-04-18,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.16,0.247,alcantarea_imperialis,absent,enriched,NA,adult
bras,E28,2022-04-18,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,4.57,1.208,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-18,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,3.86,0.517,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp7,1,1.67,0.033,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-18,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp10,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E23,2022-04-18,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.99,0.116,alcantarea_imperialis,absent,enriched,NA,adult
bras,E23,2022-04-18,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.36,0.2,alcantarea_imperialis,absent,enriched,NA,adult
bras,E15,2022-04-19,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,1.98,0.02,alcantarea_imperialis,present,control,NA,adult
bras,E15,2022-04-19,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,1.03,0.011,alcantarea_imperialis,present,control,NA,adult
bras,E19,2022-04-19,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.34,0.035,alcantarea_imperialis,absent,enriched,NA,adult
bras,E6,2022-04-19,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.46,0.04,alcantarea_imperialis,present,enriched,NA,adult
bras,E6,2022-04-19,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,0.81,0.026,alcantarea_imperialis,present,enriched,NA,adult
bras,E28,2022-04-20,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E1,2022-04-20,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,1.05,0.029,alcantarea_imperialis,present,enriched,NA,adult
bras,E3,2022-04-20,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,0.98,0.035,alcantarea_imperialis,present,enriched,NA,adult
bras,E25,2022-04-20,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.73,0.043,alcantarea_imperialis,absent,control,NA,adult
bras,E10,2022-04-20,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,4.34,0.728,alcantarea_imperialis,present,control,NA,adult
bras,E17,2022-04-20,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp7,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E25,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,1.01,0.039,alcantarea_imperialis,absent,control,NA,adult
bras,E25,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,1.14,0.065,alcantarea_imperialis,absent,control,NA,adult
bras,E25,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,0.84,0.033,alcantarea_imperialis,absent,control,NA,adult
bras,E6,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,0.89,0.028,alcantarea_imperialis,present,enriched,NA,adult
bras,E12,2022-04-21,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.9,0.198,alcantarea_imperialis,present,control,NA,adult
bras,E12,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,1.17,0.035,alcantarea_imperialis,present,control,NA,adult
bras,E12,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,1.15,0.036,alcantarea_imperialis,present,control,NA,adult
bras,E22,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,0.74,0.03,alcantarea_imperialis,absent,enriched,NA,adult
bras,E32,2022-04-21,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,1.14,0.039,alcantarea_imperialis,absent,control,NA,adult
bras,E26,2022-04-22,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.33,0.273,alcantarea_imperialis,absent,control,NA,adult
bras,E30,2022-04-22,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,1.17,0.12,alcantarea_imperialis,absent,control,NA,adult
bras,E24,2022-04-22,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp1,1,0.084,0.1,alcantarea_imperialis,absent,enriched,NA,adult
bras,E24,2022-04-22,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp1,1,0.77,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E10,2022-04-22,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.57,0.032,alcantarea_imperialis,present,control,NA,adult
bras,E7,2022-04-22,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,3.94,0.273,alcantarea_imperialis,present,enriched,NA,adult
bras,E7,2022-04-22,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.58,0.325,alcantarea_imperialis,present,enriched,NA,adult
bras,E3,2022-04-22,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.18,0.786,alcantarea_imperialis,present,enriched,NA,adult
bras,E3,2022-04-22,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.8,0.048,alcantarea_imperialis,present,enriched,NA,adult
bras,E25,2022-04-22,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.86,0.253,alcantarea_imperialis,absent,control,NA,adult
bras,E25,2022-04-22,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.71,0.265,alcantarea_imperialis,absent,control,NA,adult
bras,E31,2022-04-23,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp2,1,0.95,0.014,alcantarea_imperialis,absent,control,NA,adult
bras,E6,2022-04-24,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.55,0.023,alcantarea_imperialis,present,enriched,NA,adult
bras,E18,2022-04-24,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E9,2022-04-24,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.27,0.037,alcantarea_imperialis,present,control,NA,adult
bras,E9,2022-04-24,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,1.31,0.052,alcantarea_imperialis,present,control,NA,adult
bras,E1,2022-04-24,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E31,2022-04-24,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp6,1,1.6,0.089,alcantarea_imperialis,absent,control,NA,adult
bras,E15,2022-04-24,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.12,0.236,alcantarea_imperialis,present,control,NA,adult
bras,E16,2022-04-24,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp1,1,0.94,0.044,alcantarea_imperialis,present,control,NA,adult
bras,E3,2022-04-25,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.62,0.136,alcantarea_imperialis,present,enriched,NA,adult
bras,E2,2022-04-25,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp12,1,3.7,0.225,alcantarea_imperialis,present,enriched,NA,adult
bras,E25,2022-04-25,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E11,2022-04-25,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.54,0.155,alcantarea_imperialis,present,control,NA,adult
bras,E7,2022-04-25,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.1,0.211,alcantarea_imperialis,present,enriched,NA,adult
bras,E20,2022-04-25,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.23,0.244,alcantarea_imperialis,absent,enriched,NA,adult
bras,E20,2022-04-25,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp10,1,1.43,0.08,alcantarea_imperialis,absent,enriched,NA,adult
bras,E21,2022-04-26,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,unknown,NA,alcantarea_imperialis,absent,enriched,NA,adult
bras,E10,2022-04-26,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp2,1,4.88,0.496,alcantarea_imperialis,present,control,NA,adult
bras,E29,2022-04-26,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.9,0.048,alcantarea_imperialis,absent,control,NA,adult
bras,E3,2022-04-26,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.31,0.012,alcantarea_imperialis,present,enriched,NA,adult
bras,E16,2022-04-26,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.18,0.046,alcantarea_imperialis,present,control,NA,adult
bras,E16,2022-04-26,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.86,0.145,alcantarea_imperialis,present,control,NA,adult
bras,E13,2022-04-26,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,2.87,0.169,alcantarea_imperialis,present,control,NA,adult
bras,E32,2022-04-26,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.51,0.035,alcantarea_imperialis,absent,control,NA,adult
bras,E32,2022-04-26,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp7,1,unknown,NA,alcantarea_imperialis,absent,control,NA,adult
bras,E28,2022-04-26,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp5,1,0.96,0.012,alcantarea_imperialis,absent,control,NA,adult
bras,E25,2022-04-26,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.48,0.021,alcantarea_imperialis,absent,control,NA,adult
bras,E20,2022-04-26,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp4,1,1.78,0.028,alcantarea_imperialis,absent,enriched,NA,adult
bras,E18,2022-04-27,Hexapoda,Diptera,Ceratopogonidae,NA,NA,Ceratopogonidae_sp3,1,1.32,0.042,alcantarea_imperialis,absent,enriched,NA,adult
bras,E21,2022-04-27,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp10,1,1.66,0.053,alcantarea_imperialis,absent,enriched,NA,adult
bras,E7,2022-04-27,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E27,2022-04-27,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,4.14,0.909,alcantarea_imperialis,absent,control,NA,adult
bras,E4,2022-04-27,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp7,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E1,2022-04-27,Hexapoda,Odonata,Coenagrionidae,NA,NA,Coenagrionidae_sp1,1,51.72,17.754,alcantarea_imperialis,present,enriched,NA,adult
bras,E24,2022-04-28,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_sp3,1,4.64,0.563,alcantarea_imperialis,absent,enriched,NA,adult
bras,E8,2022-04-28,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_sp1,1,unknown,NA,alcantarea_imperialis,present,enriched,NA,adult
bras,E16,2022-04-28,Hexapoda,Diptera,Psychodidae,NA,Telmatoscopus,Telmatoscopus_sp1,1,2.68,0.29,alcantarea_imperialis,present,control,NA,adult
bras,E16,2022-04-28,Hexapoda,Diptera,Psychodidae,NA,Telmatoscopus,Telmatoscopus_sp1,1,2.52,0.341,alcantarea_imperialis,present,control,NA,adult
bras,E9,2022-04-28,Hexapoda,Diptera,Culicidae,NA,NA,Culicidae_sp1,1,3.41,0.349,alcantarea_imperialis,present,control,NA,adult
trini,E3,2022-10-08,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_adult3,1,5.86,0.92,guzmania_sp,absent,control,NA,adult
trini,E21,2022-10-09,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_adult3,1,unknown,NA,guzmania_sp,absent,enriched,NA,adult
trini,E26,2022-10-10,Hexapoda,Diptera,Psychodidae,NA,NA,Psychodidae_adult1,2,unknown,NA,guzmania_sp,absent,enriched,NA,adult
trini,E28,2022-10-10,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_adult1,1,2.42,0.08,vriesea_sp,absent,enriched,NA,adult
trini,E21,2022-10-10,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_adult3,1,4.92,0.19,guzmania_sp,absent,enriched,NA,adult
trini,E22,2020-10-11,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_adult1,1,5.3,0.3,guzmania_sp,absent,enriched,NA,adult
trini,E27,2020-10-11,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_adult2,1,2.2,0.02,vriesea_sp,absent,enriched,NA,adult
trini,E7,2022-10-12,Hexapoda,Diptera,Psychodidae,NA,NA,Psychodidae_adult1,1,unknown,NA,guzmania_sp,absent,control,NA,adult
trini,E19,2022-10-12,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_adult3,1,unknown,NA,guzmania_sp,absent,enriched,NA,adult
trini,E6,2022-10-12,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_adult3,1,2,NA,guzmania_sp,absent,control,NA,adult
trini,E1,2022-10-12,Hexapoda,Diptera,Tipulidae,NA,NA,Tipulidae_adult3,1,5.1,1.13,guzmania_sp,absent,control,NA,adult
trini,E3,2022-10-13,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_adult3,1,1.98,NA,guzmania_sp,absent,control,NA,adult
trini,E9,2022-10-14,Hexapoda,Diptera,Chironomidae,NA,NA,Chironomidae_adult4,1,2,0.06,vriesea_sp,absent,control,NA,adult
trini,E19,2022-10-15,Hexapoda,Diptera,Psychodidae,NA,NA,Psychodidae_adult1,1,unknown,NA,guzmania_sp,absent,enriched,NA,adult
trini,E3,2022-10-16,Hexapoda,Diptera,Psychodidae,NA,NA,Psychodidae_adult1,1,unknown,NA,guzmania_sp,absent,control,NA,adult
trini,E20,2022-10-16,Hexapoda,Diptera,Psychodidae,NA,NA,Psychodidae_adult1,1,unknown,NA,guzmania_sp,absent,enriched,NA,adult
